Rank,Feature,Importance
1,Hour,0.1359303543145012
2,Cause_of_accident_Enc,0.1026518895141585
3,DayOfWeek,0.09834463050148387
4,Type_of_vehicle_Enc,0.0926798113947542
5,Driving_experience_Enc,0.07734339595130169
6,Age_band_of_driver_Enc,0.07062607405570902
7,Types_of_Junction_Enc,0.0679171912674826
8,Lanes_or_Medians_Enc,0.06657898936894657
9,Cluster_ID,0.060657995293441166
10,Num_Vehicles,0.056646940392100276
11,Type_of_collision_Enc,0.04159921528954648
12,Road_allignment_Enc,0.02862472348958464
13,Weather_Binned_Enc,0.023309999495157527
14,Road_surface_conditions_Enc,0.022730121052267804
15,Light_conditions_Enc,0.02228726503624239
16,Road_surface_type_Enc,0.016874337786535815
17,Is_Night,0.015197065796786261
